VoteTypeId	PostId	Id	CreationDate	UserId	BountyAmount
2	1	1	2010-07-20		
2	1	2	2010-07-20		
2	2	3	2010-07-20		
2	2	4	2010-07-20		
2	7	5	2010-07-20		
2	1	6	2010-07-20		
2	5	7	2010-07-20		
2	9	8	2010-07-20		
2	3	9	2010-07-20		
2	1	10	2010-07-20		
2	7	11	2010-07-20		
2	9	12	2010-07-20		
1	9	13	2010-07-20		
2	9	14	2010-07-20		
2	17	15	2010-07-20		
2	14	16	2010-07-20		
2	13	17	2010-07-20		
2	13	18	2010-07-20		
2	7	19	2010-07-20		
2	9	20	2010-07-20		
2	21	21	2010-07-20		
2	15	22	2010-07-20		
2	9	23	2010-07-20		
3	21	24	2010-07-20		
2	17	25	2010-07-20		
2	24	26	2010-07-20		
2	26	27	2010-07-20		
2	24	28	2010-07-20		
2	28	29	2010-07-20		
2	25	30	2010-07-20		
2	23	31	2010-07-20		
2	23	32	2010-07-20		
2	28	33	2010-07-20		
2	25	34	2010-07-20		
2	33	35	2010-07-20		
3	21	36	2010-07-20		
2	31	37	2010-07-20		
2	30	38	2010-07-20		
2	25	39	2010-07-20		
2	11	40	2010-07-20		
3	21	41	2010-07-20		
2	23	42	2010-07-20		
2	23	43	2010-07-20		
2	34	44	2010-07-20		
2	35	45	2010-07-20		
2	34	46	2010-07-20		
2	7	47	2010-07-20		
10	21	48	2010-07-20		
2	7	49	2010-07-20		
2	2	50	2010-07-20		
10	37	51	2010-07-20		
2	23	52	2010-07-20		
5	11	53	2010-07-20	40	
2	19	54	2010-07-20		
2	33	56	2010-07-20		
2	10	57	2010-07-20		
3	3	58	2010-07-20		
2	35	59	2010-07-20		
2	41	60	2010-07-20		
2	42	61	2010-07-20		
2	44	62	2010-07-20		
2	7	63	2010-07-20		
2	16	64	2010-07-20		
2	40	65	2010-07-20		
2	19	66	2010-07-20		
2	35	67	2010-07-20		
2	38	68	2010-07-20		
2	40	70	2010-07-20		
2	9	71	2010-07-20		
1	17	72	2010-07-20		
2	49	73	2010-07-20		
2	18	74	2010-07-20		
2	45	75	2010-07-20		
2	34	76	2010-07-20		
2	17	77	2010-07-20		
2	42	78	2010-07-20		
5	8	79	2010-07-20	40	
2	32	81	2010-07-20		
2	48	82	2010-07-20		
2	3	83	2010-07-20		
2	47	85	2010-07-20		
2	38	86	2010-07-20		
2	47	87	2010-07-20		
2	55	88	2010-07-20		
2	45	89	2010-07-20		
2	31	90	2010-07-20		
2	31	91	2010-07-20		
2	51	92	2010-07-20		
2	51	93	2010-07-20		
2	49	94	2010-07-20		
2	56	95	2010-07-20		
2	52	96	2010-07-20		
2	9	97	2010-07-20		
2	9	98	2010-07-20		
2	55	99	2010-07-20		
2	1	100	2010-07-20		
2	67	101	2010-07-20		
2	15	102	2010-07-20		
2	66	103	2010-07-20		
2	7	104	2010-07-20		
3	42	105	2010-07-20		
3	23	108	2010-07-20		
2	53	109	2010-07-20		
2	34	110	2010-07-20		
2	71	111	2010-07-20		
2	75	112	2010-07-20		
3	64	113	2010-07-20		
10	61	114	2010-07-20		
2	49	115	2010-07-20		
2	75	116	2010-07-20		
2	40	117	2010-07-20		
2	65	118	2010-07-20		
2	48	119	2010-07-20		
2	20	120	2010-07-20		
2	68	121	2010-07-20		
2	41	122	2010-07-20		
2	39	123	2010-07-20		
2	9	124	2010-07-20		
3	50	125	2010-07-20		
2	65	126	2010-07-20		
2	80	127	2010-07-20		
3	23	128	2010-07-20		
2	40	129	2010-07-20		
2	78	130	2010-07-20		
2	44	131	2010-07-20		
2	45	132	2010-07-20		
2	67	133	2010-07-20		
3	31	134	2010-07-20		
2	78	135	2010-07-20		
2	72	136	2010-07-20		
2	7	137	2010-07-20		
2	54	138	2010-07-20		
2	79	139	2010-07-20		
2	20	140	2010-07-20		
2	85	141	2010-07-20		
2	81	142	2010-07-20		
5	81	143	2010-07-20	51	
2	85	144	2010-07-20		
2	81	145	2010-07-20		
2	82	146	2010-07-20		
2	71	147	2010-07-20		
2	73	148	2010-07-20		
2	72	149	2010-07-20		
2	70	150	2010-07-20		
2	86	151	2010-07-20		
2	53	152	2010-07-20		
2	54	153	2010-07-20		
2	77	154	2010-07-20		
2	83	155	2010-07-20		
2	88	156	2010-07-20		
2	85	157	2010-07-20		
2	80	158	2010-07-20		
2	9	159	2010-07-20		
2	88	160	2010-07-20		
2	83	161	2010-07-20		
10	28	162	2010-07-20		
2	94	163	2010-07-20		
2	90	164	2010-07-20		
2	76	165	2010-07-20		
5	51	166	2010-07-20	26	
2	75	168	2010-07-20		
2	95	170	2010-07-20		
2	91	171	2010-07-20		
2	92	172	2010-07-20		
2	94	173	2010-07-20		
2	25	174	2010-07-20		
2	96	175	2010-07-20		
2	93	176	2010-07-20		
3	25	177	2010-07-20		
3	23	178	2010-07-20		
3	31	179	2010-07-20		
3	33	180	2010-07-20		
2	60	181	2010-07-20		
2	43	182	2010-07-20		
2	7	183	2010-07-20		
2	86	184	2010-07-20		
2	56	185	2010-07-20		
2	1	186	2010-07-20		
2	96	187	2010-07-20		
2	9	188	2010-07-20		
2	67	190	2010-07-20		
2	70	191	2010-07-20		
2	91	192	2010-07-20		
2	72	193	2010-07-20		
2	72	194	2010-07-20		
2	103	195	2010-07-20		
2	83	196	2010-07-20		
2	3	197	2010-07-20		
2	105	198	2010-07-20		
2	104	199	2010-07-20		
2	4	200	2010-07-20		
2	77	201	2010-07-20		
2	60	202	2010-07-20		
2	85	203	2010-07-20		
2	77	204	2010-07-20		
2	70	205	2010-07-20		
2	11	206	2010-07-20		
5	51	207	2010-07-20	52	
2	25	209	2010-07-20		
2	87	210	2010-07-20		
2	83	211	2010-07-20		
2	88	212	2010-07-20		
5	83	213	2010-07-20	103	
2	9	214	2010-07-20		
2	109	215	2010-07-20		
2	75	216	2010-07-20		
2	101	217	2010-07-20		
2	60	218	2010-07-20		
2	60	219	2010-07-20		
2	116	220	2010-07-20		
2	44	221	2010-07-20		
2	115	222	2010-07-20		
1	80	223	2010-07-20		
2	94	224	2010-07-20		
2	60	225	2010-07-20		
2	98	226	2010-07-20		
2	99	227	2010-07-20		
2	105	228	2010-07-20		
2	109	229	2010-07-20		
2	51	230	2010-07-20		
2	115	231	2010-07-20		
2	122	232	2010-07-20		
2	113	233	2010-07-20		
2	118	234	2010-07-20		
2	115	235	2010-07-20		
2	122	236	2010-07-20		
2	41	237	2010-07-20		
2	115	238	2010-07-20		
1	115	239	2010-07-20		
3	39	240	2010-07-20		
2	118	241	2010-07-20		
2	49	242	2010-07-20		
2	89	243	2010-07-20		
3	127	244	2010-07-20		
2	120	245	2010-07-20		
2	69	246	2010-07-20		
10	121	247	2010-07-20		
2	125	248	2010-07-20		
2	128	249	2010-07-20		
2	81	250	2010-07-20		
2	130	251	2010-07-20		
2	11	252	2010-07-20		
2	90	253	2010-07-20		
5	90	254	2010-07-20	51	
1	85	255	2010-07-20		
2	122	256	2010-07-20		
2	122	257	2010-07-20		
2	85	258	2010-07-20		
2	127	259	2010-07-20		
2	129	260	2010-07-20		
2	130	262	2010-07-20		
2	135	263	2010-07-20		
2	124	264	2010-07-20		
2	135	265	2010-07-20		
2	136	266	2010-07-20		
2	122	267	2010-07-20		
2	117	268	2010-07-20		
2	120	269	2010-07-20		
2	106	270	2010-07-20		
1	106	271	2010-07-20		
2	130	272	2010-07-20		
2	86	273	2010-07-20		
2	22	274	2010-07-20		
2	135	275	2010-07-20		
2	124	276	2010-07-20		
3	11	277	2010-07-20		
2	143	278	2010-07-20		
2	34	279	2010-07-20		
2	142	280	2010-07-20		
2	143	281	2010-07-20		
2	45	282	2010-07-20		
2	123	283	2010-07-20		
2	124	284	2010-07-20		
2	139	285	2010-07-20		
2	123	286	2010-07-20		
2	124	287	2010-07-20		
2	112	288	2010-07-20		
2	146	289	2010-07-20		
1	53	290	2010-07-20		
2	116	291	2010-07-20		
2	72	292	2010-07-20		
2	7	293	2010-07-20		
2	16	294	2010-07-20		
3	39	295	2010-07-20		
2	141	296	2010-07-20		
2	138	297	2010-07-20		
2	140	298	2010-07-20		
2	136	299	2010-07-20		
2	122	300	2010-07-20		
2	67	301	2010-07-20		
2	143	302	2010-07-20		
2	67	303	2010-07-20		
2	115	304	2010-07-20		
2	55	305	2010-07-20		
